ID da Ordem,Etapa,Código do Status,Modificado por,SLA,Data do Evento,Data Início Execução,Data Final Execução,Prazo Máximo,Duração Total,Duração Útil,Status SLA,Excedido Total (min),Excedido Útil (min)
1873698,Vendedor - Nova Encomenda,1,-,-,2025-08-07 13:14:13,07/08/2025 13:14,07/08/2025 16:00,-,0.12 dias,-,-,-,-
1873698,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 16:00:05,07/08/2025 16:00,08/08/2025 13:42,07/08/2025 16:00,0.9 dias,0.28 dias,Atrasado,1302.12,402.12
1873670,Vendedor - Nova Encomenda,1,-,-,2025-08-07 12:54:43,07/08/2025 12:54,07/08/2025 15:34,-,0.11 dias,-,-,-,-
1873670,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 15:34:45,07/08/2025 15:34,07/08/2025 17:15,07/08/2025 15:34,0.07 dias,0.06 dias,Atrasado,100.78,85.23
1873651,Vendedor - Nova Encomenda,1,-,-,2025-08-07 12:42:57,07/08/2025 12:42,07/08/2025 15:38,-,0.12 dias,-,-,-,-
1873651,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 15:38:17,07/08/2025 15:38,07/08/2025 17:05,07/08/2025 15:38,0.06 dias,0.06 dias,Atrasado,87.12,81.7
1873645,Vendedor - Nova Encomenda,1,-,-,2025-08-07 12:36:11,07/08/2025 12:36,07/08/2025 15:13,-,0.11 dias,-,-,-,-
1873645,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 15:13:00,07/08/2025 15:13,07/08/2025 15:24,07/08/2025 15:13,0.01 dias,0.01 dias,Atrasado,11.83,11.82
1873626,Vendedor - Nova Encomenda,1,-,-,2025-08-07 12:22:31,07/08/2025 12:22,07/08/2025 14:37,-,0.09 dias,-,-,-,-
1873626,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 14:37:57,07/08/2025 14:37,07/08/2025 17:11,07/08/2025 14:37,0.11 dias,0.1 dias,Atrasado,153.89,142.03
1873612,Vendedor - Nova Encomenda,1,-,-,2025-08-07 12:09:18,07/08/2025 12:09,07/08/2025 16:28,-,0.18 dias,-,-,-,-
1873612,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 16:28:49,07/08/2025 16:28,07/08/2025 18:08,07/08/2025 16:28,0.07 dias,0.02 dias,Atrasado,99.8,31.17
1873468,Vendedor - Nova Encomenda,1,-,-,2025-08-07 10:54:25,07/08/2025 10:54,07/08/2025 11:30,-,0.03 dias,-,-,-,-
1873468,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 11:30:48,07/08/2025 11:30,07/08/2025 17:38,07/08/2025 11:30,0.26 dias,0.23 dias,Atrasado,368.07,329.18
1873448,Vendedor - Nova Encomenda,1,-,-,2025-08-07 10:40:06,07/08/2025 10:40,07/08/2025 11:25,-,0.03 dias,-,-,-,-
1873448,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 11:25:20,07/08/2025 11:25,07/08/2025 13:37,07/08/2025 11:25,0.09 dias,0.09 dias,Atrasado,132.29,132.28
1873416,Vendedor - Nova Encomenda,1,-,-,2025-08-07 10:22:00,07/08/2025 10:22,07/08/2025 15:36,-,0.22 dias,-,-,-,-
1873416,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 15:36:52,07/08/2025 15:36,07/08/2025 16:57,07/08/2025 15:36,0.06 dias,0.06 dias,Atrasado,80.29,80.28
1873331,Vendedor - Nova Encomenda,1,-,-,2025-08-07 10:17:16,07/08/2025 10:17,07/08/2025 11:49,-,0.06 dias,-,-,-,-
1873331,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 11:49:52,07/08/2025 11:49,07/08/2025 19:11,07/08/2025 11:49,0.31 dias,0.22 dias,Atrasado,442.04,310.12
1873326,Vendedor - Nova Encomenda,1,-,-,2025-08-07 10:16:25,07/08/2025 10:16,07/08/2025 14:34,-,0.18 dias,-,-,-,-
1873326,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 14:34:07,07/08/2025 14:34,08/08/2025 12:39,07/08/2025 14:34,0.92 dias,0.3 dias,Atrasado,1325.45,425.43
1873305,Vendedor - Nova Encomenda,1,-,-,2025-08-07 10:09:25,07/08/2025 10:09,07/08/2025 11:51,-,0.07 dias,-,-,-,-
1873305,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 11:51:24,07/08/2025 11:51,07/08/2025 18:44,07/08/2025 11:51,0.29 dias,0.21 dias,Atrasado,412.64,308.58
1873294,Vendedor - Nova Encomenda,1,-,-,2025-08-07 10:02:50,07/08/2025 10:02,07/08/2025 15:39,-,0.23 dias,-,-,-,-
1873294,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 15:39:48,07/08/2025 15:39,08/08/2025 10:50,07/08/2025 15:39,0.8 dias,0.17 dias,Atrasado,1150.88,250.87
1873292,Vendedor - Nova Encomenda,1,-,-,2025-08-07 10:02:06,07/08/2025 10:02,07/08/2025 11:47,-,0.07 dias,-,-,-,-
1873261,Vendedor - Nova Encomenda,1,-,-,2025-08-07 09:40:04,07/08/2025 09:40,07/08/2025 10:13,-,0.02 dias,-,-,-,-
1873261,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 10:13:18,07/08/2025 10:13,07/08/2025 13:05,07/08/2025 10:13,0.12 dias,0.12 dias,Atrasado,172.07,172.07
1873253,Vendedor - Nova Encomenda,1,-,-,2025-08-07 09:34:59,07/08/2025 09:34,07/08/2025 11:49,-,0.09 dias,-,-,-,-
1873253,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 11:49:02,07/08/2025 11:49,07/08/2025 17:33,07/08/2025 11:49,0.24 dias,0.22 dias,Atrasado,344.36,310.95
1873225,Vendedor - Nova Encomenda,1,-,-,2025-08-07 09:20:39,07/08/2025 09:20,07/08/2025 13:14,-,0.16 dias,-,-,-,-
1873118,Vendedor - Nova Encomenda,1,-,-,2025-08-06 22:19:42,06/08/2025 22:19,07/08/2025 12:15,-,0.58 dias,-,-,-,-
1873118,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 12:15:52,07/08/2025 12:15,07/08/2025 13:08,07/08/2025 12:15,0.04 dias,0.04 dias,Atrasado,52.25,52.23
1873103,Vendedor - Nova Encomenda,1,-,-,2025-08-06 21:15:25,06/08/2025 21:15,07/08/2025 12:14,-,0.62 dias,-,-,-,-
1873103,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 12:14:33,07/08/2025 12:14,07/08/2025 17:44,07/08/2025 12:14,0.23 dias,0.2 dias,Atrasado,329.51,285.43
1873047,Vendedor - Nova Encomenda,1,-,-,2025-08-06 18:38:39,06/08/2025 18:38,07/08/2025 17:51,-,0.97 dias,-,-,-,-
1873043,Vendedor - Nova Encomenda,1,-,-,2025-08-06 18:29:13,06/08/2025 18:29,08/08/2025 17:30,-,1.96 dias,-,-,-,-
1873041,Vendedor - Nova Encomenda,1,-,-,2025-08-06 18:26:03,06/08/2025 18:26,07/08/2025 11:52,-,0.73 dias,-,-,-,-
1873041,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 11:52:07,07/08/2025 11:52,07/08/2025 13:16,07/08/2025 11:52,0.06 dias,0.06 dias,Atrasado,84.27,84.27
1873039,Vendedor - Nova Encomenda,1,-,-,2025-08-06 18:25:57,06/08/2025 18:25,07/08/2025 11:34,-,0.71 dias,-,-,-,-
1873034,Vendedor - Nova Encomenda,1,-,-,2025-08-06 18:20:30,06/08/2025 18:20,07/08/2025 11:50,-,0.73 dias,-,-,-,-
1873034,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 11:50:41,07/08/2025 11:50,08/08/2025 13:43,07/08/2025 11:50,1.08 dias,0.45 dias,Atrasado,1552.69,652.68
